0 1,1463
0,868451 -0,501827
0,450704 -0,118954
0,638086 -0,294254
0,868451 -0,501827
0,63998 -0,408524
0,250167 0,251596
0,413781 0,247079
0,0915253 0,673388
0,185881 0,666793
0,639349 -0,371197
0,638086 -0,294254
0,211452 0,47044
0,223525 0,395929
0,447269 -0,0908524
0,416748 0,17319
0,20699 0,507331
0,217539 0,425625
0,414071 0,221065
0,414703 0,176445
0,0650313 0,700513
0,418246 0,126447
0,441593 -0,0538079
0,443563 -0,0635733
0,0080548 0,980487
0,440377 -0,0215664
0,0791858 0,675324
0,0468259 0,742892
0,224276 0,37435
0,214353 0,449532
0,236656 0,309983
0,425013 0,0713957
0,426282 0,0435264
0,187274 0,641631
0,0130449 0,880588
0,63998 -0,408524
0,0258162 0,835108
0,226726 0,359627
0,0425689 0,753462
0,00773389 0,995357
0,037017 0,773622
0,0150239 0,870597
0,00550184 1,01635
0,448331 -0,113873
0,0231364 0,836224
0,00172287 1,09217
0,0010544 1,10439
0,421097 0,108645
0,422522 0,100372
0,423164 0,0784792
0,238362 0,289169
0,199383 0,575607
0,432768 0,0112294
0,072203 0,692331
0,00316321 1,0647
0,000351468 1,12384
0,0290638 0,810117
0,00869662 0,950917
0,039205 0,765025
0,0553715 0,712828
0,035005 0,792958
0,073013 0,683276
0,00260297 1,07304
0,00481713 1,0452
0,228901 0,346358
0,215686 0,436284
0,204113 0,530014
0,196245 0,590929
0,193357 0,600338
0,202928 0,540026
0,0290638 0,810117
0,0183845 0,855595
0,20542 0,515118
0,186192 0,65272
0,00869662 0,950917
0,0101461 0,926979
0,413974 0,229718
0,190818 0,621797
0,234382 0,322706
0,192239 0,612327
0,0115955 0,90357
0,0101461 0,926979
0,201354 0,553286
0,243862 0,278049
0,0115955 0,90357
0,0915253 0,673388
0,0514528 0,726427
0,00756329 1,0156
0,247861 0,259378
0,230394 0,336612
0,438556 -0,0138233
0,418246 0,126447
0,000117156 1,13391
0,428679 0,0384281
0,00481713 1,0452
0,430139 0,0197914
0,241972 0,28694
0,23217 0,327885
0,430006 0,0277424
0,0183845 0,855595
