0 1,00144
0 1,00144
1 0,0370182
0,192463 0,965946
0,412311 0,835069
0,992708 0,0493523
0,980817 0,0703757
0,445485 0,805151
0,726615 0,476854
0,843301 0,30274
0,927111 0,164263
0,430728 0,818299
0,936396 0,145085
0,297369 0,914077
0,67743 0,544339
0,224828 0,952065
0,24812 0,941237
0,462335 0,788313
0,165491 0,974975
0,132514 0,983723
0,285411 0,921529
0,741232 0,460629
0,816437 0,344798
0,953687 0,115102
0,0791813 0,995271
0,214232 0,957702
0,874379 0,252944
0,692106 0,534221
0,855738 0,278471
0,780282 0,404096
0,642134 0,596092
0,314349 0,906014
0,10503 0,990876
0,965644 0,0958381
0,770054 0,419074
0,00665141 0,999956
0,532274 0,72189
0,808893 0,355034
0,545661 0,708522
0,920534 0,175533
0,55827 0,694192
0,946859 0,130491
0,96046 0,106378
0,606869 0,6379
0,113775 0,988428
0,586725 0,662574
0,595072 0,653344
0,517899 0,737616
0,0721187 0,996162
0,826963 0,316132
0,7914 0,390089
0,766858 0,423989
0,748365 0,447136
0,674375 0,558651
0,894393 0,220838
0,913857 0,182993
0,436073 0,812414
0,906751 0,189929
0,634013 0,61105
0,318714 0,901198
0,580289 0,674335
0,349639 0,881541
0,665816 0,56141
0,481255 0,774601
0,0321443 0,999617
0,75741 0,435301
0,785159 0,399893
0,942354 0,135306
0,336371 0,890503
0,271848 0,928641
0,866959 0,267789
0,160733 0,975567
0,660421 0,570838
0,898075 0,21443
0,525626 0,728902
0,886578 0,231525
0,973493 0,0824845
0,268566 0,932101
0,615877 0,630635
0,394972 0,845993
0,329394 0,894427
0,566329 0,684253
0,402849 0,843747
0,794884 0,380269
0,865684 0,268333
0,0521077 0,998333
0,85109 0,291362
0,49158 0,763517
0,972404 0,0847206
0,824088 0,331259
0,25292 0,937895
0,626882 0,615583
0,0521077 0,998333
0,0321443 0,999617
0,382143 0,862295
0,746266 0,457307
0,802805 0,364332
0,90236 0,205229
0,702219 0,513866
0,721479 0,490515
