0 1,00078
0 1,00078
0,868451 -0,501827
0,63998 -0,408524
0,868451 -0,501827
0,453731 -0,124213
0,636756 -0,265443
0,257612 0,242277
0,410512 0,2266
0,182368 0,669181
0,0826282 0,66966
0,636756 -0,265443
0,0135132 0,878848
0,00813855 0,908465
0,219906 0,402718
0,0442153 0,746626
0,434804 -0,0452628
0,430671 -0,00965701
0,438114 -0,0696748
0,419626 0,113849
0,217127 0,423188
0,416746 0,145434
0,0565828 0,70716
0,234504 0,308792
0,432837 -0,0288541
0,0204491 0,845488
0,204131 0,522298
0,414766 0,18282
0,412608 0,19866
0,00271285 0,948443
0,247478 0,256115
0,637365 -0,310214
0,208855 0,486114
0,0703879 0,678945
0,0500178 0,726794
0,241901 0,274278
0,197651 0,570694
0,638529 -0,385891
0,4501 -0,120959
0,231347 0,326454
0,638385 -0,346825
0,186684 0,644003
0,0244503 0,827975
0,184836 0,655414
0,440457 -0,0842155
0,223162 0,381073
0,422397 0,0770876
0,000926673 0,970352
0,415287 0,164054
0,0369352 0,774388
0,411888 0,216198
0,257542 0,242296
0,0510054 0,723643
0,237466 0,293693
0,201757 0,540192
0,423512 0,0648525
0,0617161 0,694602
0,421072 0,0926717
0,0273681 0,814446
0,442396 -0,0948454
0,229428 0,338199
0,200803 0,547338
0,198586 0,563589
0,0343591 0,784822
0,0304947 0,801
0,016226 0,865353
0,637864 -0,331224
0,426654 0,0300401
0,0177428 0,858073
0,206799 0,502394
0,194759 0,590999
0,226425 0,357415
0,214736 0,441143
0,428339 0,0128125
0,194575 0,592391
0,637027 -0,285446
0,638585 -0,397074
0,000926673 0,970352
0,00392409 0,937731
0,191671 0,61192
0,205988 0,508205
0,00618423 0,920926
0,424753 0,0504669
0,426315 0,045655
0,420206 0,102967
0,212398 0,458924
0,0405395 0,760376
0,0320471 0,79435
0,210524 0,473374
0,638418 -0,363335
0,191671 0,61192
0,188951 0,629755
0,637788 -0,320191
0,214227 0,444811
0,24562 0,261284
0,0607895 0,696682
0,0774621 0,671783
0,416128 0,153172
0,637027 -0,285446
0,0399575 0,762717
