x,y,z
-5.000000,-5.000000,90036.000000
-5.000000,-4.900000,89437.000000
-5.000000,-4.800000,88840.000000
-5.000000,-4.700000,88245.000000
-5.000000,-4.600000,87652.000000
-5.000000,-4.500000,87061.000000
-5.000000,-4.400000,86472.000000
-5.000000,-4.300000,85885.000000
-5.000000,-4.200000,85300.000000
-5.000000,-4.100000,84717.000000
-5.000000,-4.000000,84136.000000
-5.000000,-3.900000,83557.000000
-5.000000,-3.800000,82980.000000
-5.000000,-3.700000,82405.000000
-5.000000,-3.600000,81832.000000
-5.000000,-3.500000,81261.000000
-5.000000,-3.400000,80692.000000
-5.000000,-3.300000,80125.000000
-5.000000,-3.200000,79560.000000
-5.000000,-3.100000,78997.000000
-5.000000,-3.000000,78436.000000
-5.000000,-2.900000,77877.000000
-5.000000,-2.800000,77320.000000
-5.000000,-2.700000,76765.000000
-5.000000,-2.600000,76212.000000
-5.000000,-2.500000,75661.000000
-5.000000,-2.400000,75112.000000
-5.000000,-2.300000,74565.000000
-5.000000,-2.200000,74020.000000
-5.000000,-2.100000,73477.000000
-5.000000,-2.000000,72936.000000
-5.000000,-1.900000,72397.000000
-5.000000,-1.800000,71860.000000
-5.000000,-1.700000,71325.000000
-5.000000,-1.600000,70792.000000
-5.000000,-1.500000,70261.000000
-5.000000,-1.400000,69732.000000
-5.000000,-1.300000,69205.000000
-5.000000,-1.200000,68680.000000
-5.000000,-1.100000,68157.000000
-5.000000,-1.000000,67636.000000
-5.000000,-0.900000,67117.000000
-5.000000,-0.800000,66600.000000
-5.000000,-0.700000,66085.000000
-5.000000,-0.600000,65572.000000
-5.000000,-0.500000,65061.000000
-5.000000,-0.400000,64552.000000
-5.000000,-0.300000,64045.000000
-5.000000,-0.200000,63540.000000
-5.000000,-0.100000,63037.000000
-5.000000,-0.000000,62536.000000
-5.000000,0.100000,62037.000000
-5.000000,0.200000,61540.000000
-5.000000,0.300000,61045.000000
-5.000000,0.400000,60552.000000
-5.000000,0.500000,60061.000000
-5.000000,0.600000,59572.000000
-5.000000,0.700000,59085.000000
-5.000000,0.800000,58600.000000
-5.000000,0.900000,58117.000000
-5.000000,1.000000,57636.000000
-5.000000,1.100000,57157.000000
-5.000000,1.200000,56680.000000
-5.000000,1.300000,56205.000000
-5.000000,1.400000,55732.000000
-5.000000,1.500000,55261.000000
-5.000000,1.600000,54792.000000
-5.000000,1.700000,54325.000000
-5.000000,1.800000,53860.000000
-5.000000,1.900000,53397.000000
-5.000000,2.000000,52936.000000
-5.000000,2.100000,52477.000000
-5.000000,2.200000,52020.000000
-5.000000,2.300000,51565.000000
-5.000000,2.400000,51112.000000
-5.000000,2.500000,50661.000000
-5.000000,2.600000,50212.000000
-5.000000,2.700000,49765.000000
-5.000000,2.800000,49320.000000
-5.000000,2.900000,48877.000000
-5.000000,3.000000,48436.000000
-5.000000,3.100000,47997.000000
-5.000000,3.200000,47560.000000
-5.000000,3.300000,47125.000000
-5.000000,3.400000,46692.000000
-5.000000,3.500000,46261.000000
-5.000000,3.600000,45832.000000
-5.000000,3.700000,45405.000000
-5.000000,3.800000,44980.000000
-5.000000,3.900000,44557.000000
-5.000000,4.000000,44136.000000
-5.000000,4.100000,43717.000000
-5.000000,4.200000,43300.000000
-5.000000,4.300000,42885.000000
-5.000000,4.400000,42472.000000
-5.000000,4.500000,42061.000000
-5.000000,4.600000,41652.000000
-5.000000,4.700000,41245.000000
-5.000000,4.800000,40840.000000
-5.000000,4.900000,40437.000000
-5.000000,5.000000,40036.000000
-4.900000,-5.000000,84192.820000
-4.900000,-4.900000,83613.620000
-4.900000,-4.800000,83036.420000
-4.900000,-4.700000,82461.220000
-4.900000,-4.600000,81888.020000
-4.900000,-4.500000,81316.820000
-4.900000,-4.400000,80747.620000
-4.900000,-4.300000,80180.420000
-4.900000,-4.200000,79615.220000
-4.900000,-4.100000,79052.020000
-4.900000,-4.000000,78490.820000
-4.900000,-3.900000,77931.620000
-4.900000,-3.800000,77374.420000
-4.900000,-3.700000,76819.220000
-4.900000,-3.600000,76266.020000
-4.900000,-3.500000,75714.820000
-4.900000,-3.400000,75165.620000
-4.900000,-3.300000,74618.420000
-4.900000,-3.200000,74073.220000
-4.900000,-3.100000,73530.020000
-4.900000,-3.000000,72988.820000
-4.900000,-2.900000,72449.620000
-4.900000,-2.800000,71912.420000
-4.900000,-2.700000,71377.220000
-4.900000,-2.600000,70844.020000
-4.900000,-2.500000,70312.820000
-4.900000,-2.400000,69783.620000
-4.900000,-2.300000,69256.420000
-4.900000,-2.200000,68731.220000
-4.900000,-2.100000,68208.020000
-4.900000,-2.000000,67686.820000
-4.900000,-1.900000,67167.620000
-4.900000,-1.800000,66650.420000
-4.900000,-1.700000,66135.220000
-4.900000,-1.600000,65622.020000
-4.900000,-1.500000,65110.820000
-4.900000,-1.400000,64601.620000
-4.900000,-1.300000,64094.420000
-4.900000,-1.200000,63589.220000
-4.900000,-1.100000,63086.020000
-4.900000,-1.000000,62584.820000
-4.900000,-0.900000,62085.620000
-4.900000,-0.800000,61588.420000
-4.900000,-0.700000,61093.220000
-4.900000,-0.600000,60600.020000
-4.900000,-0.500000,60108.820000
-4.900000,-0.400000,59619.620000
-4.900000,-0.300000,59132.420000
-4.900000,-0.200000,58647.220000
-4.900000,-0.100000,58164.020000
-4.900000,-0.000000,57682.820000
-4.900000,0.100000,57203.620000
-4.900000,0.200000,56726.420000
-4.900000,0.300000,56251.220000
-4.900000,0.400000,55778.020000
-4.900000,0.500000,55306.820000
-4.900000,0.600000,54837.620000
-4.900000,0.700000,54370.420000
-4.900000,0.800000,53905.220000
-4.900000,0.900000,53442.020000
-4.900000,1.000000,52980.820000
-4.900000,1.100000,52521.620000
-4.900000,1.200000,52064.420000
-4.900000,1.300000,51609.220000
-4.900000,1.400000,51156.020000
-4.900000,1.500000,50704.820000
-4.900000,1.600000,50255.620000
-4.900000,1.700000,49808.420000
-4.900000,1.800000,49363.220000
-4.900000,1.900000,48920.020000
-4.900000,2.000000,48478.820000
-4.900000,2.100000,48039.620000
-4.900000,2.200000,47602.420000
-4.900000,2.300000,47167.220000
-4.900000,2.400000,46734.020000
-4.900000,2.500000,46302.820000
-4.900000,2.600000,45873.620000
-4.900000,2.700000,45446.420000
-4.900000,2.800000,45021.220000
-4.900000,2.900000,44598.020000
-4.900000,3.000000,44176.820000
-4.900000,3.100000,43757.620000
-4.900000,3.200000,43340.420000
-4.900000,3.300000,42925.220000
-4.900000,3.400000,42512.020000
-4.900000,3.500000,42100.820000
-4.900000,3.600000,41691.620000
-4.900000,3.700000,41284.420000
-4.900000,3.800000,40879.220000
-4.900000,3.900000,40476.020000
-4.900000,4.000000,40074.820000
-4.900000,4.100000,39675.620000
-4.900000,4.200000,39278.420000
-4.900000,4.300000,38883.220000
-4.900000,4.400000,38490.020000
-4.900000,4.500000,38098.820000
-4.900000,4.600000,37709.620000
-4.900000,4.700000,37322.420000
-4.900000,4.800000,36937.220000
-4.900000,4.900000,36554.020000
-4.900000,5.000000,36172.820000
-4.800000,-5.000000,78657.800000
-4.800000,-4.900000,78098.000000
-4.800000,-4.800000,77540.200000
-4.800000,-4.700000,76984.400000
-4.800000,-4.600000,76430.600000
-4.800000,-4.500000,75878.800000
-4.800000,-4.400000,75329.000000
-4.800000,-4.300000,74781.200000
-4.800000,-4.200000,74235.400000
-4.800000,-4.100000,73691.600000
-4.800000,-4.000000,73149.800000
-4.800000,-3.900000,72610.000000
-4.800000,-3.800000,72072.200000
-4.800000,-3.700000,71536.400000
-4.800000,-3.600000,71002.600000
-4.800000,-3.500000,70470.800000
-4.800000,-3.400000,69941.000000
-4.800000,-3.300000,69413.200000
-4.800000,-3.200000,68887.400000
-4.800000,-3.100000,68363.600000
-4.800000,-3.000000,67841.800000
-4.800000,-2.900000,67322.000000
-4.800000,-2.800000,66804.200000
-4.800000,-2.700000,66288.400000
-4.800000,-2.600000,65774.600000
-4.800000,-2.500000,65262.800000
-4.800000,-2.400000,64753.000000
-4.800000,-2.300000,64245.200000
-4.800000,-2.200000,63739.400000
-4.800000,-2.100000,63235.600000
-4.800000,-2.000000,62733.800000
-4.800000,-1.900000,62234.000000
-4.800000,-1.800000,61736.200000
-4.800000,-1.700000,61240.400000
-4.800000,-1.600000,60746.600000
-4.800000,-1.500000,60254.800000
-4.800000,-1.400000,59765.000000
-4.800000,-1.300000,59277.200000
-4.800000,-1.200000,58791.400000
-4.800000,-1.100000,58307.600000
-4.800000,-1.000000,57825.800000
-4.800000,-0.900000,57346.000000
-4.800000,-0.800000,56868.200000
-4.800000,-0.700000,56392.400000
-4.800000,-0.600000,55918.600000
-4.800000,-0.500000,55446.800000
-4.800000,-0.400000,54977.000000
-4.800000,-0.300000,54509.200000
-4.800000,-0.200000,54043.400000
-4.800000,-0.100000,53579.600000
-4.800000,-0.000000,53117.800000
-4.800000,0.100000,52658.000000
-4.800000,0.200000,52200.200000
-4.800000,0.300000,51744.400000
-4.800000,0.400000,51290.600000
-4.800000,0.500000,50838.800000
-4.800000,0.600000,50389.000000
-4.800000,0.700000,49941.200000
-4.800000,0.800000,49495.400000
-4.800000,0.900000,49051.600000
-4.800000,1.000000,48609.800000
-4.800000,1.100000,48170.000000
-4.800000,1.200000,47732.200000
-4.800000,1.300000,47296.400000
-4.800000,1.400000,46862.600000
-4.800000,1.500000,46430.800000
-4.800000,1.600000,46001.000000
-4.800000,1.700000,45573.200000
-4.800000,1.800000,45147.400000
-4.800000,1.900000,44723.600000
-4.800000,2.000000,44301.800000
-4.800000,2.100000,43882.000000
-4.800000,2.200000,43464.200000
-4.800000,2.300000,43048.400000
-4.800000,2.400000,42634.600000
-4.800000,2.500000,42222.800000
-4.800000,2.600000,41813.000000
-4.800000,2.700000,41405.200000
-4.800000,2.800000,40999.400000
-4.800000,2.900000,40595.600000
-4.800000,3.000000,40193.800000
-4.800000,3.100000,39794.000000
-4.800000,3.200000,39396.200000
-4.800000,3.300000,39000.400000
-4.800000,3.400000,38606.600000
-4.800000,3.500000,38214.800000
-4.800000,3.600000,37825.000000
-4.800000,3.700000,37437.200000
-4.800000,3.800000,37051.400000
-4.800000,3.900000,36667.600000
-4.800000,4.000000,36285.800000
-4.800000,4.100000,35906.000000
-4.800000,4.200000,35528.200000
-4.800000,4.300000,35152.400000
-4.800000,4.400000,34778.600000
-4.800000,4.500000,34406.800000
-4.800000,4.600000,34037.000000
-4.800000,4.700000,33669.200000
-4.800000,4.800000,33303.400000
-4.800000,4.900000,32939.600000
-4.800000,5.000000,32577.800000
-4.700000,-5.000000,73419.300000
-4.700000,-4.900000,72878.500000
-4.700000,-4.800000,72339.700000
-4.700000,-4.700000,71802.900000
-4.700000,-4.600000,71268.100000
-4.700000,-4.500000,70735.300000
-4.700000,-4.400000,70204.500000
-4.700000,-4.300000,69675.700000
-4.700000,-4.200000,69148.900000
-4.700000,-4.100000,68624.100000
-4.700000,-4.000000,68101.300000
-4.700000,-3.900000,67580.500000
-4.700000,-3.800000,67061.700000
-4.700000,-3.700000,66544.900000
-4.700000,-3.600000,66030.100000
-4.700000,-3.500000,65517.300000
-4.700000,-3.400000,65006.500000
-4.700000,-3.300000,64497.700000
-4.700000,-3.200000,63990.900000
-4.700000,-3.100000,63486.100000
-4.700000,-3.000000,62983.300000
-4.700000,-2.900000,62482.500000
-4.700000,-2.800000,61983.700000
-4.700000,-2.700000,61486.900000
-4.700000,-2.600000,60992.100000
-4.700000,-2.500000,60499.300000
-4.700000,-2.400000,60008.500000
-4.700000,-2.300000,59519.700000
-4.700000,-2.200000,59032.900000
-4.700000,-2.100000,58548.100000
-4.700000,-2.000000,58065.300000
-4.700000,-1.900000,57584.500000
-4.700000,-1.800000,57105.700000
-4.700000,-1.700000,56628.900000
-4.700000,-1.600000,56154.100000
-4.700000,-1.500000,55681.300000
-4.700000,-1.400000,55210.500000
-4.700000,-1.300000,54741.700000
-4.700000,-1.200000,54274.900000
-4.700000,-1.100000,53810.100000
-4.700000,-1.000000,53347.300000
-4.700000,-0.900000,52886.500000
-4.700000,-0.800000,52427.700000
-4.700000,-0.700000,51970.900000
-4.700000,-0.600000,51516.100000
-4.700000,-0.500000,51063.300000
-4.700000,-0.400000,50612.500000
-4.700000,-0.300000,50163.700000
-4.700000,-0.200000,49716.900000
-4.700000,-0.100000,49272.100000
-4.700000,-0.000000,48829.300000
-4.700000,0.100000,48388.500000
-4.700000,0.200000,47949.700000
-4.700000,0.300000,47512.900000
-4.700000,0.400000,47078.100000
-4.700000,0.500000,46645.300000
-4.700000,0.600000,46214.500000
-4.700000,0.700000,45785.700000
-4.700000,0.800000,45358.900000
-4.700000,0.900000,44934.100000
-4.700000,1.000000,44511.300000
-4.700000,1.100000,44090.500000
-4.700000,1.200000,43671.700000
-4.700000,1.300000,43254.900000
-4.700000,1.400000,42840.100000
-4.700000,1.500000,42427.300000
-4.700000,1.600000,42016.500000
-4.700000,1.700000,41607.700000
-4.700000,1.800000,41200.900000
-4.700000,1.900000,40796.100000
-4.700000,2.000000,40393.300000
-4.700000,2.100000,39992.500000
-4.700000,2.200000,39593.700000
-4.700000,2.300000,39196.900000
-4.700000,2.400000,38802.100000
-4.700000,2.500000,38409.300000
-4.700000,2.600000,38018.500000
-4.700000,2.700000,37629.700000
-4.700000,2.800000,37242.900000
-4.700000,2.900000,36858.100000
-4.700000,3.000000,36475.300000
-4.700000,3.100000,36094.500000
-4.700000,3.200000,35715.700000
-4.700000,3.300000,35338.900000
-4.700000,3.400000,34964.100000
-4.700000,3.500000,34591.300000
-4.700000,3.600000,34220.500000
-4.700000,3.700000,33851.700000
-4.700000,3.800000,33484.900000
-4.700000,3.900000,33120.100000
-4.700000,4.000000,32757.300000
-4.700000,4.100000,32396.500000
-4.700000,4.200000,32037.700000
-4.700000,4.300000,31680.900000
-4.700000,4.400000,31326.100000
-4.700000,4.500000,30973.300000
-4.700000,4.600000,30622.500000
-4.700000,4.700000,30273.700000
-4.700000,4.800000,29926.900000
-4.700000,4.900000,29582.100000
-4.700000,5.000000,29239.300000
-4.600000,-5.000000,68465.920000
-4.600000,-4.900000,67943.720000
-4.600000,-4.800000,67423.520000
-4.600000,-4.700000,66905.320000
-4.600000,-4.600000,66389.120000
-4.600000,-4.500000,65874.920000
-4.600000,-4.400000,65362.720000
-4.600000,-4.300000,64852.520000
-4.600000,-4.200000,64344.320000
-4.600000,-4.100000,63838.120000
-4.600000,-4.000000,63333.920000
