x,y,z
-10.000000,-10.000000,1.787186
-10.000000,-9.900000,1.506666
-10.000000,-9.800000,1.400183
-10.000000,-9.700000,1.484051
-10.000000,-9.600000,1.738306
-10.000000,-9.500000,2.111718
-10.000000,-9.400000,2.532409
-10.000000,-9.300000,2.921789
-10.000000,-9.200000,3.209057
-10.000000,-9.100000,3.343606
-10.000000,-9.000000,3.303208
-10.000000,-8.900000,3.096785
-10.000000,-8.800000,2.761598
-10.000000,-8.700000,2.355701
-10.000000,-8.600000,1.947252
-10.000000,-8.500000,1.602694
-10.000000,-8.400000,1.375891
-10.000000,-8.300000,1.299930
-10.000000,-8.200000,1.382768
-10.000000,-8.100000,1.607150
-10.000000,-8.000000,1.934517
-10.000000,-7.900000,2.311978
-10.000000,-7.800000,2.681052
-10.000000,-7.700000,2.986693
-10.000000,-7.600000,3.185211
-10.000000,-7.500000,3.250000
-10.000000,-7.400000,3.174396
-10.000000,-7.300000,2.971503
-10.000000,-7.200000,2.671255
-10.000000,-7.100000,2.315367
-10.000000,-7.000000,1.951064
-10.000000,-6.900000,1.624552
-10.000000,-6.800000,1.375126
-10.000000,-6.700000,1.230642
-10.000000,-6.600000,1.204803
-10.000000,-6.500000,1.296434
-10.000000,-6.400000,1.490642
-10.000000,-6.300000,1.761521
-10.000000,-6.200000,2.075913
-10.000000,-6.100000,2.397675
-10.000000,-6.000000,2.691879
-10.000000,-5.900000,2.928494
-10.000000,-5.800000,3.085162
-10.000000,-5.700000,3.148896
-10.000000,-5.600000,3.116614
-10.000000,-5.500000,2.994607
-10.000000,-5.400000,2.797129
-10.000000,-5.300000,2.544344
-10.000000,-5.200000,2.259944
-10.000000,-5.100000,1.968699
-10.000000,-5.000000,1.694188
-10.000000,-4.900000,1.456906
-10.000000,-4.800000,1.272874
-10.000000,-4.700000,1.152795
-10.000000,-4.600000,1.101770
-10.000000,-4.500000,1.119510
-10.000000,-4.400000,1.200943
-10.000000,-4.300000,1.337128
-10.000000,-4.200000,1.516329
-10.000000,-4.100000,1.725153
-10.000000,-4.000000,1.949645
-10.000000,-3.900000,2.176270
-10.000000,-3.800000,2.392713
-10.000000,-3.700000,2.588479
-10.000000,-3.600000,2.755283
-10.000000,-3.500000,2.887232
-10.000000,-3.400000,2.980827
-10.000000,-3.300000,3.034818
-10.000000,-3.200000,3.049948
-10.000000,-3.100000,3.028617
-10.000000,-3.000000,2.974514
-10.000000,-2.900000,2.892236
-10.000000,-2.800000,2.786924
-10.000000,-2.700000,2.663934
-10.000000,-2.600000,2.528559
-10.000000,-2.500000,2.385803
-10.000000,-2.400000,2.240208
-10.000000,-2.300000,2.095743
-10.000000,-2.200000,1.955735
-10.000000,-2.100000,1.822848
-10.000000,-2.000000,1.699093
-10.000000,-1.900000,1.585866
-10.000000,-1.800000,1.484009
-10.000000,-1.700000,1.393876
-10.000000,-1.600000,1.315414
-10.000000,-1.500000,1.248234
-10.000000,-1.400000,1.191691
-10.000000,-1.300000,1.144953
-10.000000,-1.200000,1.107063
-10.000000,-1.100000,1.076993
-10.000000,-1.000000,1.053690
-10.000000,-0.900000,1.036116
-10.000000,-0.800000,1.023276
-10.000000,-0.700000,1.014243
-10.000000,-0.600000,1.008176
-10.000000,-0.500000,1.004328
-10.000000,-0.400000,1.002062
-10.000000,-0.300000,1.000849
-10.000000,-0.200000,1.000279
-10.000000,-0.100000,1.000055
-10.000000,-0.000000,1.000000
-10.000000,0.100000,1.000055
-10.000000,0.200000,1.000279
-10.000000,0.300000,1.000849
-10.000000,0.400000,1.002062
-10.000000,0.500000,1.004328
-10.000000,0.600000,1.008176
-10.000000,0.700000,1.014243
-10.000000,0.800000,1.023276
-10.000000,0.900000,1.036116
-10.000000,1.000000,1.053690
-10.000000,1.100000,1.076993
-10.000000,1.200000,1.107063
-10.000000,1.300000,1.144953
-10.000000,1.400000,1.191691
-10.000000,1.500000,1.248234
-10.000000,1.600000,1.315414
-10.000000,1.700000,1.393876
-10.000000,1.800000,1.484009
-10.000000,1.900000,1.585866
-10.000000,2.000000,1.699093
-10.000000,2.100000,1.822848
-10.000000,2.200000,1.955735
-10.000000,2.300000,2.095743
-10.000000,2.400000,2.240208
-10.000000,2.500000,2.385803
-10.000000,2.600000,2.528559
-10.000000,2.700000,2.663934
-10.000000,2.800000,2.786924
-10.000000,2.900000,2.892236
-10.000000,3.000000,2.974514
-10.000000,3.100000,3.028617
-10.000000,3.200000,3.049948
-10.000000,3.300000,3.034818
-10.000000,3.400000,2.980827
-10.000000,3.500000,2.887232
-10.000000,3.600000,2.755283
-10.000000,3.700000,2.588479
-10.000000,3.800000,2.392713
-10.000000,3.900000,2.176270
-10.000000,4.000000,1.949645
-10.000000,4.100000,1.725153
-10.000000,4.200000,1.516329
-10.000000,4.300000,1.337128
-10.000000,4.400000,1.200943
-10.000000,4.500000,1.119510
-10.000000,4.600000,1.101770
-10.000000,4.700000,1.152795
-10.000000,4.800000,1.272874
-10.000000,4.900000,1.456906
-10.000000,5.000000,1.694188
-10.000000,5.100000,1.968699
-10.000000,5.200000,2.259944
-10.000000,5.300000,2.544344
-10.000000,5.400000,2.797129
-10.000000,5.500000,2.994607
-10.000000,5.600000,3.116614
-10.000000,5.700000,3.148896
-10.000000,5.800000,3.085162
-10.000000,5.900000,2.928494
-10.000000,6.000000,2.691879
-10.000000,6.100000,2.397675
-10.000000,6.200000,2.075913
-10.000000,6.300000,1.761521
-10.000000,6.400000,1.490642
-10.000000,6.500000,1.296434
-10.000000,6.600000,1.204803
-10.000000,6.700000,1.230642
-10.000000,6.800000,1.375126
-10.000000,6.900000,1.624552
-10.000000,7.000000,1.951064
-10.000000,7.100000,2.315367
-10.000000,7.200000,2.671255
-10.000000,7.300000,2.971503
-10.000000,7.400000,3.174396
-10.000000,7.500000,3.250000
-10.000000,7.600000,3.185211
-10.000000,7.700000,2.986693
-10.000000,7.800000,2.681052
-10.000000,7.900000,2.311978
-10.000000,8.000000,1.934517
-10.000000,8.100000,1.607150
-10.000000,8.200000,1.382768
-10.000000,8.300000,1.299930
-10.000000,8.400000,1.375891
-10.000000,8.500000,1.602694
-10.000000,8.600000,1.947252
-10.000000,8.700000,2.355701
-10.000000,8.800000,2.761598
-10.000000,8.900000,3.096785
-10.000000,9.000000,3.303208
-10.000000,9.100000,3.343606
-10.000000,9.200000,3.209057
-10.000000,9.300000,2.921789
-10.000000,9.400000,2.532409
-10.000000,9.500000,2.111718
-10.000000,9.600000,1.738306
-10.000000,9.700000,1.484051
-10.000000,9.800000,1.400183
-10.000000,9.900000,1.506666
-10.000000,10.000000,1.787186
-9.900000,-10.000000,1.506666
-9.900000,-9.900000,1.400081
-9.900000,-9.800000,1.487702
-9.900000,-9.700000,1.748508
-9.900000,-9.600000,2.129030
-9.900000,-9.500000,2.554600
-9.900000,-9.400000,2.944080
-9.900000,-9.300000,3.225135
-9.900000,-9.200000,3.347156
-9.900000,-9.100000,3.289618
-9.900000,-9.000000,3.064596
-9.900000,-8.900000,2.713344
-9.900000,-8.800000,2.297900
-9.900000,-8.700000,1.889501
-9.900000,-8.600000,1.556023
-9.900000,-8.500000,1.350669
-9.900000,-8.400000,1.303746
-9.900000,-8.300000,1.418702
-9.900000,-8.200000,1.672787
-9.900000,-8.100000,2.021920
-9.900000,-8.000000,2.408662
-9.900000,-7.900000,2.771812
-9.900000,-7.800000,3.055984
-9.900000,-7.700000,3.219690
-9.900000,-7.600000,3.240800
-9.900000,-7.500000,3.118759
-9.900000,-7.400000,2.873504
-9.900000,-7.300000,2.541486
-9.900000,-7.200000,2.169643
-9.900000,-7.100000,1.808337
-9.900000,-7.000000,1.504340
-9.900000,-6.900000,1.294840
-9.900000,-6.800000,1.203180
-9.900000,-6.700000,1.236745
-9.900000,-6.600000,1.387067
-9.900000,-6.500000,1.631927
-9.900000,-6.400000,1.938977
