x,y,z
-5.000000,-5.000000,8106487.124128
-5.000000,-4.900000,7546287.939330
-5.000000,-4.800000,7049643.660980
-5.000000,-4.700000,6609931.808123
-5.000000,-4.600000,6221117.231949
-5.000000,-4.500000,5877715.126230
-5.000000,-4.400000,5574760.290565
-5.000000,-4.300000,5307740.347916
-5.000000,-4.200000,5072590.906668
-5.000000,-4.100000,4865643.991672
-5.000000,-4.000000,4683595.794113
-5.000000,-3.900000,4523477.382528
-5.000000,-3.800000,4382630.974817
-5.000000,-3.700000,4258677.386290
-5.000000,-3.600000,4149497.889648
-5.000000,-3.500000,4053209.409266
-5.000000,-3.400000,3968135.438655
-5.000000,-3.300000,3892791.737682
-5.000000,-3.200000,3825869.147881
-5.000000,-3.100000,3766216.703504
-5.000000,-3.000000,3712829.146995
-5.000000,-2.900000,3664819.505916
-5.000000,-2.800000,3621412.241502
-5.000000,-2.700000,3581950.046993
-5.000000,-2.600000,3545843.857024
-5.000000,-2.500000,3512596.288930
-5.000000,-2.400000,3481781.438220
-5.000000,-2.300000,3453024.692506
-5.000000,-2.200000,3426020.798078
-5.000000,-2.100000,3400495.691338
-5.000000,-2.000000,3376235.912242
-5.000000,-1.900000,3353044.549425
-5.000000,-1.800000,3330764.188715
-5.000000,-1.700000,3309267.272801
-5.000000,-1.600000,3288442.321518
-5.000000,-1.500000,3268200.427457
-5.000000,-1.400000,3248464.768903
-5.000000,-1.300000,3229178.758949
-5.000000,-1.200000,3210293.417553
-5.000000,-1.100000,3191770.453369
-5.000000,-1.000000,3173571.837812
-5.000000,-0.900000,3155672.210813
-5.000000,-0.800000,3138061.642781
-5.000000,-0.700000,3120710.636672
-5.000000,-0.600000,3103614.875802
-5.000000,-0.500000,3086760.599425
-5.000000,-0.400000,3070139.453116
-5.000000,-0.300000,3053745.884950
-5.000000,-0.200000,3037573.295437
-5.000000,-0.100000,3021618.983734
-5.000000,-0.000000,3005874.001656
-5.000000,0.100000,2990349.999790
-5.000000,0.200000,2975034.121703
-5.000000,0.300000,2959927.942816
-5.000000,0.400000,2945031.770241
-5.000000,0.500000,2930353.563853
-5.000000,0.600000,2915893.053189
-5.000000,0.700000,2901656.240922
-5.000000,0.800000,2887646.458716
-5.000000,0.900000,2873869.981662
-5.000000,1.000000,2860338.997626
-5.000000,1.100000,2847072.558493
-5.000000,1.200000,2834078.039957
-5.000000,1.300000,2821385.047202
-5.000000,1.400000,2809002.860698
-5.000000,1.500000,2796976.698367
-5.000000,1.600000,2785336.522833
-5.000000,1.700000,2774120.387742
-5.000000,1.800000,2763386.378894
-5.000000,1.900000,2753198.402331
-5.000000,2.000000,2743625.529205
-5.000000,2.100000,2734761.716718
-5.000000,2.200000,2726711.196151
-5.000000,2.300000,2719601.678408
-5.000000,2.400000,2713574.301585
-5.000000,2.500000,2708813.474100
-5.000000,2.600000,2705521.696298
-5.000000,2.700000,2703935.184242
-5.000000,2.800000,2704337.604653
-5.000000,2.900000,2707052.283448
-5.000000,3.000000,2712462.171677
-5.000000,3.100000,2721001.819151
-5.000000,3.200000,2733183.100579
-5.000000,3.300000,2749576.174319
-5.000000,3.400000,2770854.553169
-5.000000,3.500000,2797775.793832
-5.000000,3.600000,2831211.400897
-5.000000,3.700000,2872148.717755
-5.000000,3.800000,2921703.063756
-5.000000,3.900000,2981154.386278
-5.000000,4.000000,3051927.746234
-5.000000,4.100000,3135635.763832
-5.000000,4.200000,3234095.225370
-5.000000,4.300000,3349331.977476
-5.000000,4.400000,3483620.818475
-5.000000,4.500000,3639499.487197
-5.000000,4.600000,3819800.630574
-5.000000,4.700000,4027659.793348
-5.000000,4.800000,4266568.001447
-5.000000,4.900000,4540387.767583
-5.000000,5.000000,4853385.370497
-4.900000,-5.000000,7546287.939330
-4.900000,-4.900000,6991245.414957
-4.900000,-4.800000,6499521.302670
-4.900000,-4.700000,6064508.626684
-4.900000,-4.600000,5680191.977630
-4.900000,-4.500000,5341096.361650
-4.900000,-4.400000,5042270.173577
-4.900000,-4.300000,4779211.196760
-4.900000,-4.200000,4547870.544344
-4.900000,-4.100000,4344590.228377
-4.900000,-4.000000,4166068.596188
-4.900000,-3.900000,4009357.607070
-4.900000,-3.800000,3871806.710181
-4.900000,-3.700000,3751039.567293
-4.900000,-3.600000,3644946.260409
-4.900000,-3.500000,3551655.931132
-4.900000,-3.400000,3469485.940046
-4.900000,-3.300000,3396974.298699
-4.900000,-3.200000,3332810.523870
-4.900000,-3.100000,3275853.885162
-4.900000,-3.000000,3225094.049460
-4.900000,-2.900000,3179649.755497
-4.900000,-2.800000,3138762.778959
-4.900000,-2.700000,3101762.955256
-4.900000,-2.600000,3068076.270336
-4.900000,-2.500000,3037207.844301
-4.900000,-2.400000,3008726.261564
-4.900000,-2.300000,2982269.162563
-4.900000,-2.200000,2957525.079642
-4.900000,-2.100000,2934230.604910
-4.900000,-2.000000,2912168.513393
-4.900000,-1.900000,2891145.032429
-4.900000,-1.800000,2871009.580377
-4.900000,-1.700000,2851627.081385
-4.900000,-1.600000,2832892.665532
-4.900000,-1.500000,2814718.195862
-4.900000,-1.400000,2797029.189464
-4.900000,-1.300000,2779764.078550
-4.900000,-1.200000,2762885.967940
-4.900000,-1.100000,2746341.655911
-4.900000,-1.000000,2730107.656401
-4.900000,-0.900000,2714155.902751
-4.900000,-0.800000,2698467.914878
-4.900000,-0.700000,2683027.926200
-4.900000,-0.600000,2667823.324094
-4.900000,-0.500000,2652846.469789
-4.900000,-0.400000,2638080.712201
-4.900000,-0.300000,2623528.418963
-4.900000,-0.200000,2609178.168238
-4.900000,-0.100000,2595031.282052
-4.900000,-0.000000,2581084.394524
-4.900000,0.100000,2567331.413997
-4.900000,0.200000,2553777.905779
-4.900000,0.300000,2540416.004805
-4.900000,0.400000,2527251.101020
-4.900000,0.500000,2514283.474454
-4.900000,0.600000,2501519.646523
-4.900000,0.700000,2488961.618220
-4.900000,0.800000,2476614.587126
-4.900000,0.900000,2464483.706795
-4.900000,1.000000,2452582.983554
-4.900000,1.100000,2440926.961857
-4.900000,1.200000,2429529.164871
-4.900000,1.300000,2418407.428603
-4.900000,1.400000,2407584.198340
-4.900000,1.500000,2397092.803169
-4.900000,1.600000,2386967.956920
-4.900000,1.700000,2377246.958095
-4.900000,1.800000,2367985.572566
-4.900000,1.900000,2359242.513488
-4.900000,2.000000,2351092.802031
-4.900000,2.100000,2343623.950131
-4.900000,2.200000,2336938.444118
-4.900000,2.300000,2331164.651025
-4.900000,2.400000,2326442.342802
-4.900000,2.500000,2322951.265027
-4.900000,2.600000,2320887.985655
-4.900000,2.700000,2320494.631730
-4.900000,2.800000,2322045.314489
-4.900000,2.900000,2325860.780562
-4.900000,3.000000,2332323.667761
-4.900000,3.100000,2341861.074062
-4.900000,3.200000,2354974.283075
-4.900000,3.300000,2372241.434032
-4.900000,3.400000,2394322.113283
-4.900000,3.500000,2421975.748616
-4.900000,3.600000,2456059.685594
-4.900000,3.700000,2497557.924984
-4.900000,3.800000,2547578.735791
-4.900000,3.900000,2607393.071063
-4.900000,4.000000,2678421.287910
-4.900000,4.100000,2762265.472109
-4.900000,4.200000,2860730.498335
-4.900000,4.300000,2975834.091702
-4.900000,4.400000,3109841.553200
-4.900000,4.500000,3265282.224790
-4.900000,4.600000,3444970.158714
-4.900000,4.700000,3652026.671641
