K1,K2,Pareto
98.7494,94.1067,0
64.5078,29.8467,0
77.8211,33.7065,0
23.794,37.7974,0
92.3307,54.879,0
84.2746,26.5551,0
91.2091,56.739,0
31.2638,52.4194,0
2.61236,93.6734,0
53.8519,2.26142,0
50.321,24.487,0
69.6879,91.9694,0
92.6364,43.3268,0
49.7072,76.7794,0
41.5214,78.3463,0
61.7697,66.4537,0
2.15581,59.3689,0
93.0455,86.3374,0
33.9432,32.4358,0
20.3316,66.589,0
57.7339,17.2325,0
34.8248,73.8961,0
38.9587,52.1804,0
78.3592,32.0201,0
35.2423,77.5339,0
72.2909,59.1404,0
21.4491,56.4327,0
3.97475,74.5469,0
77.5868,69.2984,0
44.0756,15.1501,0
62.8668,45.233,0
38.3601,1.63712,0
75.9032,48.4092,0
42.784,99.2994,0
70.9618,35.452,0
17.8971,11.4608,0
37.6529,91.1871,0
59.2056,29.2682,0
92.6028,67.3747,0
51.4431,8.96493,0
29.5162,31.9035,0
23.2674,57.0376,0
1.07224,59.3737,0
80.5047,52.9199,0
83.6766,5.51483,0
7.86252,75.156,0
48.8745,26.5667,0
5.22274,16.2277,0
79.3587,68.9944,0
17.6705,9.45897,0
70.332,70.7361,0
40.6641,25.2388,0
55.8924,93.4101,0
87.1122,4.85176,0
23.0837,2.08879,0
75.4776,83.7171,0
48.162,92.7482,0
41.6956,3.31321,0
23.7214,47.199,0
12.4764,11.7267,0
95.1333,39.5995,0
63.2584,18.0939,0
30.2471,24.7404,0
39.4784,27.6367,0
34.4787,7.53614,0
5.32682,99.2831,0
70.4676,15.0369,0
36.5056,93.2583,0
21.9182,9.83838,0
55.7579,78.6355,0
60.5012,24.046,0
1.3558,51.6117,0
96.1445,76.3087,0
47.4774,3.34573,0
81.5255,69.8833,0
76.3065,54.5358,0
0.266169,28.2123,0
30.1135,21.8996,0
59.0046,18.6243,0
55.0215,66.9059,0
45.609,21.9105,0
1.26898,18.5542,0
53.9979,58.4469,0
41.352,86.9654,0
24.1572,81.3338,0
65.3084,25.6063,0
6.71012,89.7461,0
13.2575,40.8605,0
21.0357,58.3839,0
99.9273,33.6876,1
84.7207,45.6445,0
0.96351,48.5418,0
99.2926,99.3416,1
78.2762,55.1649,0
24.4138,80.8874,0
34.8799,91.7886,0
53.3022,25.7101,0
94.1272,50.7943,0
6.4624,79.0691,0
43.4622,30.2783,0
