K1,K2,K3,K4,K5,Pareto
19.8913,67.7631,62.0147,50.7086,18.7968,0
3.47179,24.5735,32.3302,45.2903,80.0311,0
34.4339,95.193,42.6472,46.2841,47.5914,0
65.8677,54.6162,99.2464,61.7795,76.4535,1
8.97544,8.7363,77.585,99.3994,88.0599,1
15.5826,55.8365,82.7653,3.82663,26.2941,0
50.983,26.899,94.4498,8.56344,47.0965,0
38.5644,27.8265,94.9191,80.9009,47.4114,0
30.137,39.4302,79.1207,60.6517,55.7861,0
66.373,90.9589,39.6682,17.9549,55.6942,0
86.3708,28.8936,31.1596,79.393,21.3023,0
2.57175,68.4014,85.365,5.12676,72.0553,0
10.2536,32.8299,78.0878,15.4333,63.7744,0
88.4807,28.191,66.4254,64.8456,4.97948,0
73.2595,81.2815,21.2529,21.882,9.90852,0
98.3854,79.9584,84.4005,70.3436,35.2589,1
77.1651,1.94344,6.04756,59.2298,13.8854,0
29.403,97.9491,13.2899,75.6419,29.8448,0
62.6479,13.45,9.93337,8.33488,67.3587,0
49.8629,37.7704,94.0347,47.2198,98.8979,1
92.6466,94.4533,88.9324,61.8674,41.5083,1
86.4535,88.7143,83.3188,3.29065,12.2136,0
51.2894,91.4765,34.5198,43.8015,52.3719,0
98.0872,28.4425,27.8176,65.2718,93.1453,1
40.1416,61.9494,38.563,14.9686,62.9714,0
45.0065,67.0499,7.34199,40.4124,8.68911,0
96.9902,8.24339,79.1484,89.4018,70.8463,1
6.7077,80.6634,96.9389,64.1138,43.9753,0
75.6677,56.7903,30.9701,31.034,22.4175,0
1.21709,71.8707,24.5095,96.7315,38.6452,0
99.8811,84.242,51.5514,97.8819,56.5784,1
3.76942,71.5281,48.5124,72.3524,12.8382,0
60.1088,94.3075,87.1423,4.76046,91.2929,1
59.3899,92.5343,99.7988,21.0391,83.7167,1
27.3809,36.6379,71.145,66.1417,36.2976,0
12.3973,33.1658,67.5702,88.7314,96.6086,0
47.4925,79.4636,31.131,12.8622,10.8743,0
79.3371,61.2054,9.48513,97.5672,9.57757,0
5.67206,11.4778,71.7065,55.0592,49.5572,0
45.2548,71.2227,7.70029,57.9365,99.7646,1
60.4888,93.6558,52.9756,84.813,47.9235,1
5.64117,83.5293,29.547,60.246,49.9323,0
58.1821,97.5217,1.2548,42.0987,61.1219,0
85.5805,29.2108,70.9221,42.3131,49.1456,0
61.9582,24.2785,4.28866,3.74038,29.4019,0
14.8756,88.2874,86.8813,10.5178,15.6727,0
77.2035,23.2337,14.2545,39.2469,97.6651,0
59.5013,21.0716,69.9818,99.1259,14.6157,1
25.8005,40.5083,80.1888,0.797335,26.6608,0
80.2078,22.1757,76.3035,29.0248,87.0401,0
51.9213,72.3443,41.7724,60.4429,53.2135,0
84.2093,48.8758,18.115,48.6045,68.6015,0
16.3928,15.9021,12.4387,89.5135,88.03,0
16.0197,2.03978,77.4964,21.1527,2.45614,0
61.2978,39.6457,91.9964,5.03604,11.7346,0
90.2189,34.8379,3.71696,75.6939,30.9675,0
2.10838,35.3635,82.2815,15.0199,14.4347,0
21.4125,90.0769,19.2223,74.5533,40.4612,0
33.4409,60.1449,1.97805,74.4922,79.9496,0
26.7975,49.0211,61.1985,51.7988,31.3789,0
19.0202,52.7647,1.00198,84.6315,17.3951,0
75.258,25.9431,99.9363,57.0822,63.0472,1
81.6307,33.0642,45.22,46.6305,32.3831,0
18.5521,36.1361,67.994,50.0772,87.2838,0
86.7361,0.0225686,87.1554,8.06099,45.5993,0
45.6086,55.3505,68.2474,89.4815,5.86384,0
7.79652,8.83778,73.0729,2.80078,94.6938,0
63.4634,49.3653,40.8898,85.8622,17.4333,0
8.32394,49.3938,69.3454,25.8551,93.2342,0
89.5243,69.8311,58.4126,46.7514,49.3853,0
30.5094,14.9151,48.8108,79.837,89.0782,0
33.2469,20.6221,65.7268,63.1369,3.66241,0
37.3451,92.5221,38.3485,58.9021,5.767,0
60.2186,28.0791,84.7564,66.7387,74.2154,0
45.1607,88.7892,65.4489,16.8878,85.0004,0
28.9585,19.5421,89.202,19.759,35.6043,0
73.3987,11.299,73.5952,67.1055,55.1236,0
31.1526,90.6136,74.5791,79.5694,8.28456,0
14.6027,45.1425,57.5476,7.43315,30.9238,0
54.5402,90.6848,26.6071,55.8002,85.0687,0
36.6266,92.5203,13.3691,74.7741,17.3346,0
61.18,31.4663,0.480649,58.5741,51.2092,0
29.3142,63.3693,56.1758,28.0497,24.4432,0
85.2116,18.0095,64.2826,16.4713,8.97087,0
49.5963,26.4239,68.6582,8.18042,42.9126,0
63.5141,2.73526,95.6898,96.5622,92.8403,1
2.25442,97.1446,19.8326,17.4288,35.2377,0
48.8891,93.3263,50.8175,10.7774,38.4344,0
44.2417,49.184,76.8185,24.2217,16.4699,0
20.124,94.0745,69.4665,69.0766,49.1492,0
53.3702,51.6939,39.5502,97.6489,96.0831,1
98.662,30.172,11.8916,70.4328,20.9422,0
70.5662,63.3735,49.2198,66.4279,35.3362,0
96.4359,74.8364,64.1766,36.42,56.6235,1
5.45351,34.4433,83.3512,48.9772,96.6249,1
13.2015,34.3509,90.8434,44.656,22.8906,0
90.4555,53.7611,4.36147,65.6324,35.6576,0
44.2111,59.2899,44.0227,63.105,31.4034,0
19.0381,82.5685,31.5702,35.7697,78.9115,0
62.8768,24.192,74.7114,98.4298,57.8768,1
11.0838,43.6921,53.5354,76.9964,67.1641,0
42.9474,68.4608,2.74919,23.2584,3.70743,0
76.663,7.62812,9.85704,33.0563,83.5434,0
30.3672,89.5477,46.6915,56.7661,65.4689,0
60.3406,34.2708,10.6683,83.265,0.886645,0
61.917,99.6537,64.6727,62.3456,77.0003,1
89.2386,16.7399,80.2139,33.2479,28.0267,0
20.7225,94.7686,56.2509,71.016,73.5014,0
83.0993,71.5073,41.0853,59.664,47.7447,0
19.6721,7.48019,64.4229,49.3694,21.148,0
99.7583,97.873,82.2402,99.0383,43.6224,1
42.9912,78.3059,90.927,84.3153,24.386,0
34.7791,36.1536,31.3134,51.5337,76.6383,0
68.6434,5.89595,46.8272,79.8759,77.5038,0
12.3009,77.6626,95.0319,58.1266,72.1147,0
99.0517,55.701,63.9502,30.0053,87.4611,1
74.4089,80.8211,23.8884,47.6531,93.733,0
67.3536,66.0971,86.4164,85.0971,31.2728,0
0.1444,26.277,93.8553,24.1155,80.4151,0
24.2305,64.5458,7.06739,61.4115,92.2712,0
39.5539,30.5334,30.3008,35.114,50.5749,0
58.9675,11.1447,45.9321,72.3305,31.327,0
53.0589,67.6573,42.1282,80.5277,91.551,0
70.9314,98.7913,41.7527,0.16294,86.056,0
24.2624,4.45379,90.7417,24.844,39.754,0
59.7097,29.5485,78.2071,92.7636,44.245,1
20.4458,1.76801,60.985,79.6784,60.4465,0
76.6652,57.2996,0.000485485,22.2604,24.5618,0
42.5314,72.0518,57.3649,59.9504,37.7282,0
85.5606,46.5496,95.7855,6.12289,71.8913,0
43.6573,39.4636,64.7284,47.487,73.3569,0
57.9635,91.2294,17.681,52.6166,74.253,0
45.7283,7.95976,9.84056,97.805,76.2363,0
53.317,89.4598,24.8017,63.741,61.7713,0
38.7285,70.6671,79.425,21.8944,79.3139,0
12.8769,10.1997,43.3932,32.0647,43.2541,0
70.8215,91.4092,32.9924,51.8288,37.8018,0
65.2499,8.20539,85.4551,76.5835,2.33936,0
32.2951,12.0739,4.22432,35.8451,79.1432,0
