f1;f2
0,984774;0,0207254
0;1
0;1
0,0746897;0,726919
0,208489;0,543926
0,0955819;0,691947
0,262013;0,489012
0,0209742;0,855199
0,185143;0,571025
0,161275;0,599515
0,251979;0,499039
0,281518;0,471262
0,00237436;0,951273
0,75235;0,134108
0,0435678;0,791461
0,0365764;0,808935
0,939219;0,0380626
0,386251;0,379749
0,215634;0,536082
0,960388;0,0214944
0,168673;0,589897
0,238714;0,512736
0,40161;0,366943
0,369297;0,395706
0,879267;0,0691363
0,904925;0,0543705
0,0138602;0,882313
0,0509786;0,774464
0,794708;0,110103
0,850148;0,0859314
0,769614;0,124691
0,138511;0,628275
0,380415;0,384903
0,807741;0,103176
0,126875;0,644328
0,146623;0,617374
0,00723531;0,914959
0,000527636;0,97703
0,119024;0,655358
0,893496;0,0577463
0,58254;0,240682
0,484857;0,309761
0,178251;0,578677
0,918966;0,0468665
0,0594374;0,756399
0,0689775;0,737607
0,227254;0,524574
0,59719;0,229836
0,427402;0,350118
0,104879;0,676577
0,631747;0,212588
0,456963;0,326141
0,132547;0,636281
0,491096;0,302999
0,471633;0,314407
0,0138602;0,882313
0,00918841;0,904181
0,733025;0,145528
0,836174;0,0904209
0,86005;0,0763984
0,432138;0,34359
0,957576;0,0315245
0,884376;0,0658882
0,518755;0,283002
0,984774;0,0207254
0,415945;0,356432
0,948734;0,0358789
0,0310159;0,824042
0,064391;0,746573
0,00462008;0,932043
0,0486069;0,779779
0,351899;0,409668
0,637008;0,203178
0,00034924;0,981312
0,554731;0,257942
0,447104;0,334461
0,329542;0,426274
0,110733;0,667735
0,499144;0,29719
0,00407169;0,93619
0,742264;0,140659
0,659902;0,190361
0,0258693;0,839247
0,0321339;0,820881
0,113774;0,663312
0,615547;0,217688
0,529313;0,276695
0,722869;0,152523
0,0258693;0,839247
0,710313;0,161101
0,537529;0,26854
0,670228;0,185256
0,918729;0,0483105
0,786031;0,115557
0,099765;0,684769
0,859855;0,0803001
0,346287;0,412647
0,503002;0,293136
0,146623;0,617374
0,442035;0,338503
